"File","SampleRate","Channels","Layout"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n6.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n60.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n7.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n70.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n8.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n80.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n9.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\n90.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ns\npoint.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\10o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\11o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\12o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\1o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\2o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\3o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\4o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\5o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\6o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\7o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\8o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\9o.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\a1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\a2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\a3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\a4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ab.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\above.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\abt.wav","44100","2","unknown"
